date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-06-16,8552,4320,4701592,1088.33148148,2875207921.4579647446232905,0.194400328094303,0.01796517918295141030480413206,0.172433,0.0159351055238504138577,494.748835,45.7213810206112343366115,0,0,0,0,0,75.99757328,45.81450070435419,0.0000102459274843577,0.0924133171947969,-42.98794139276461,11.852706998709618,31112484745,2545,7304,409387871.268878,37832891.20327350306910250088,256354.20422364,23690.54238913898649861197872,65327.798245,6037.1585408528812469514405,1872411107.649488,173035721.610273138727382549,0.0545406955254399,0.0531703135118432,0.0602301948635508
2019-06-17,9909,4320,4941163,1143.78773148,2904049173.6193887654798815,0.193207067874794,0.01803400886807636650874373383,0.172433,0.0160949507973703970071,586.383451,54.7332169146117919555037,0,0,0,0,0,67.29482405,45.9407641579025,0.00000999299771224135,0.0933403165134887,-41.843128510969116,18.060464815173972,31112484745,3035,8372,462331021.518725,43154123.88256234662642212591,255728.47708466,23869.77699259460640374185334,76432.17931,7134.203808611122352058797,2140958810.152805,199837772.9820049831652906408,0.0539442845577517,0.0501088640524942,0.0601219548064583
2019-06-18,9214,4320,4897209,1133.61319444,2760608554.157231084929088,0.193628076923077,0.0171806054662594489866099026,0.172433,0.0152999678013660952192,543.70764,48.243140149256513588736,0,0,0,0,0,63.02315342,46.19583525866723,0.00000980751927045949,0.0887299287338624,-45.79467427931238,1.7370226413768164,31112484745,2808,7473,493667534.160186,43803085.12425488566748408241,267691.5360466,23752.25091607297574764438784,79999.827655,7098.379006549424362484672,2000458848.876219,177500571.0958113247197713783,0.0540480324455065,0.0508003898324558,0.0602469275878484
2019-06-19,9350,4320,4876302,1128.77361111,2793413068.8060203645941315,0.20219516888339,0.01815395433175975408206124619,0.172433,0.0154817784449323804571,653.696981,58.6917343545792966192647,0,0,0,0,0,43.75265489,46.29367525664257,0.00000966976571123478,0.0897843130081387,-45.95675659318783,5.715677161565981,31112484745,3233,7986,711099356.649212,63845567.2172789057453169417,230602.35265206,20704.47381092573850230932072,43090.704464,3868.8692973369755484211568,1841590388.279359,165345927.8540536515884562191,0.0540063723833154,0.0508344055146638,0.060104300653161
2019-06-20,9676,4320,5075633,1174.9150463,2722268094.817331628278656,0.199274848264984,0.01743607320268790819869624914,0.172433,0.0150874755983311272704,631.701269,55.2723520525207319881472,0,0,0,0,0,46.06509679,46.50234827881248,0.00000916520158434222,0.0874976112364288,-45.92191422335568,3.0768612105187083,31112484745,3170,8453,675402569.647401,59096111.46709331891766244155,249549.70322822,21835.00291722897465702418074,50388.019236,4408.8313180852241183443968,2109443641.388144,184571279.6593365525250132201,0.053933564383394,0.0483726072225784,0.0598148068902109
2019-06-21,9037,4320,4867467,1126.72847222,2775363025.973696341844993,0.190304260345389,0.01697593143642262706644349801,0.172433,0.0153817406928461759962,584.043775,52.099133578381145854535,0,0,0,0,0,55.8467759,46.77560255068065,0.00000884655920584173,0.0892041586752314,-43.56542901330042,14.364576584107741,31112484745,3069,7660,557104402.945282,49696029.55900098682946288825,250687.8225183,22362.39629787068045338323462,51576.949499,4600.8783870931926599390686,1920268720.490162,171295955.6416879850063767735,0.0538847763397066,0.0482137841267791,0.0594351946498734
2019-06-22,12846,4320,5762768,1333.97407407,2914727520.2580599300089035,0.19547977188656,0.01831323584218359241118856821,0.172433,0.0161541328061696747619,792.670475,74.2601713400543922805425,0,0,0,0,0,42.19683548,46.88465381181279,0.00000876751946381755,0.0936835339301043,-32.20379876532269,16.594615297125518,31112484745,4055,10744,737317962.198921,69074552.32893797517634687746,262638.65623834,24604.91746306152476872185886,77022.72793,7215.761345419347135423099,2821789722.624776,264355233.2231378037227194441,0.0533728344784773,0.0489427644917278,0.0595159445907809
2019-06-23,11184,4320,5511114,1275.72083333,2988694375.675805549759006,0.190782518311292,0.01832674709614308511746191357,0.172433,0.0165640752098312094604,750.156862,72.0607695820345968490856,0,0,0,0,0,36.98624042,46.66977325235338,0.00000889912255942071,0.0960609350288588,-30.25081541345384,19.28403139136403,31112484745,3932,9754,841190788.46327,80805573.67744468608355381628,220668.2286608,21197.59637631846612527629504,98840.699454,9494.7300084576534674030952,2152397902.357425,206761355.0546085702769274566,0.053388983196483,0.0490616946876991,0.0591777279081176
2019-06-24,9737,4320,4924665,1139.96875,3015348634.2440009050355285,0.192838517263633,0.01868945423119833681304896495,0.172433,0.0167117996299589927869,597.606565,57.9186186624837749748545,0,0,0,0,0,55.51023171,46.97216156209506,0.0000088073263276375,0.0969176412285293,-25.896903116712362,20.512429951207015,31112484745,3099,8409,560481982.980197,54320591.74152939818835333427,278994.88554987,27039.52622231689415496190619,70215.483443,6805.1190330164132433903799,2346067992.588883,227375376.0034652992837456198,0.0526266916213416,0.0474567451343874,0.0591176379555749
2019-06-25,9975,4320,5137017,1189.12430556,2973567489.768610914778671,0.194638220677146,0.01860249639383053305381212567,0.172433,0.0164802383083746494214,643.863234,61.5370580707915019751372,0,0,0,0,0,54.06049025,47.74693454554943,0.00000815048480420806,0.0955747351630758,-29.234340736145292,10.694464343028748,31112484745,3308,8525,575512441.744841,55004449.20281826803962834195,252601.14287177,24142.28733185969018567819017,56082.43026,5360.063419401168280593708,2153424742.981799,205812999.5041000119498162574,0.0518767853820715,0.0463219126642088,0.059125516965037
