date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2018-01-21,5470,0,13939.38593338,423.70722505328797,181043076.000076,5720,5720,12987.880303,2.27060844458042,0.01,12987.880303
2018-01-22,8630,0,596.48949604,431.9486072136192,181043076.000076,8833,8832,303514.273429005,34.9540617560009,0.01,308714.273429
2018-01-23,19,0,49386.99300085,467.19047920514566,181043076.000076,19,19,3665.8048,192.937094736842,100,3665.8048
2018-01-24,21,0,7399.47205926,599.6424350240604,181043076.000076,18,18,24467.0261,1359.27922777778,290.75,24467.0261
2018-01-25,33,0,13006.09115677,610.2832049599078,181043076.000076,29,29,13919.8683,479.99545862069,130.75,13919.8683
2018-01-26,52,0,8614.36653321,625.8423591568112,181043076.000076,58,58,21016.411979,362.351930672414,87.000635,21016.411979
2018-01-27,39,0,9193.72974612,626.6082866717619,181043076.000076,33,33,19692.016298,596.727766606061,44.5149,19692.016298
2018-01-28,20,0,110655.47285783,633.0639807335109,181043076.000076,18,18,1636.096899,90.8942721666667,9.95,1636.096899
2018-01-29,23,0,70990.0855039,634.0228192269161,181043076.000076,16,16,2550.258599,159.3911624375,70.365,2550.258599
2018-01-30,28,0,14994.15118902,634.6685665335357,181043076.000076,22,22,12074.246399,548.829381772727,100,12074.246399
2018-01-31,21,0,4533.53638076,657.2193599773537,181043076.000076,18,18,39934.184,2496.34355555556,75,44934.184
2018-02-01,23,0,39532.58189078,659.2364072611813,181043076.000076,20,20,4579.5915,228.979575,53.45,4579.5915
2018-02-02,20,0,24547.390234,659.3711153122596,181043076.000076,18,18,7375.2474,409.735966666667,116.96215,7375.2474
2018-02-03,19,0,55861.35486788,659.7299056080087,181043076.000076,20,20,3240.936,162.0468,55.9492,3240.936
2018-02-04,14,0,29774.07299554,660.4922230011256,181043076.000076,10,10,6080.5613,608.05613,71.10715,6080.5613
2018-02-05,24,0,16053.65397533,662.5526937459617,181043076.000076,25,25,11277.375,451.095,200,11277.375
2018-02-06,16,0,31923.25078406,663.2069770931823,181043076.000076,13,13,5671.198,436.246,100,5671.198
2018-02-07,8,0,80409.60054068,663.3403430540471,181043076.000076,6,6,2251.5107,375.251783333333,189.68575,2251.5107
2018-02-08,14,0,66948.1163909,665.5396476528845,181043076.000076,11,11,2704.22957,245.839051818182,55.652,2704.22957
2018-02-09,18,0,52520.90635035,666.8780487833722,181043076.000076,15,15,3447.066865,229.804457666667,99.5,3447.066865
2018-02-10,18,0,14926.37318981,744.5458207424027,181043076.000076,14,14,12129.073399,866.362385642857,84.30715,12129.073399
2018-02-11,38,0,37001.90042327,745.0629378132613,181043076.000076,37,37,4892.8048,132.237967567568,12.78,4892.8048
2018-02-12,26,0,3396.01133574,2279.1094174082996,181043076.000076,28,28,53310.50403,1903.9465725,208.04,53310.50403
2018-02-13,36,0,1525.878549,2935.6574690882358,181043076.000076,40,40,118648.418066,2966.21045165,0.001,118648.418066
2018-02-14,31,0,2694.13327609,3788.1969612414928,181043076.000076,27,27,67199.005189,2488.85204403704,79.5,67199.005189
2018-02-15,12,0,19594.4418265,3786.921309342795,181043076.000076,9,9,9239.511776,1026.61241955556,132.56,9239.511776
2018-02-16,12,0,32517.7305194,3807.7263505960723,181043076.000076,12,12,5567.5188,463.9599,91.9879,5567.5188
2018-02-17,11,0,64128.54471086,3831.88276172706,181043076.000076,8,8,2823.127779,352.890972375,41.98745,2823.127779
2018-02-18,13,0,35670.77974402,3907.0126379337044,181043076.000076,12,12,5075.3888,422.949066666667,52.1181,5075.3888
2018-02-19,27,0,13605.84839531,3910.002925893507,181043076.000076,26,26,13306.2688,511.779569230769,113.1775,13306.2688
2018-02-20,34,0,32341.66876778,3931.6566527865716,181043076.000076,24,24,5597.827289,233.242803708333,50.92,5597.827289
2018-02-21,12,0,100659.32069239,3994.3407855958367,181043076.000076,9,9,1798.5724,199.841377777778,190.0735,1798.5724
2018-02-22,14,0,134184.57462462,3993.020093716953,181043076.000076,12,12,1349.2093,112.434108333333,22.9311,1349.2093
2018-02-23,7,0,539157.57762044,4099.649173881853,181043076.000076,5,5,335.7888,67.15776,30.31,335.7888
2018-02-24,11,0,98269.57833659,4276.809227512805,181043076.000076,10,10,1842.3105,184.23105,33.4541,1842.3105
2018-02-25,15,0,95231.42275947,4290.650226180853,181043076.000076,10,10,1901.08549,190.108549,106,1901.08549
2018-02-26,14,0,15753.89362518,4326.080565788126,181043076.000076,11,11,11491.9575,1044.72340909091,54.445,11491.9575
2018-02-27,18,0,19490.01344869,4321.936733700379,181043076.000076,18,18,9289.0175,516.056527777778,156.25,9289.0175
2018-02-28,13,0,7429.11198917,4311.474486997412,181043076.000076,15,15,24369.41,1624.62733333333,82.4,24369.41
2018-03-01,15,0,29701.52696696,4316.245735190441,181043076.000076,11,11,6095.413081,554.128461909091,128.9144,6095.413081
2018-03-02,28,0,11693.37348869,4302.226177460723,181043076.000076,29,29,15482.536,1028.53376551724,8.7,29827.4792
2018-03-03,5,0,409528.37627851,4331.715325566073,181043076.000076,3,3,442.077,147.359,167,442.077
2018-03-04,7,0,147670.59869123,4361.527704112457,181043076.000076,5,5,1225.9927,245.19854,138.2146,1225.9927
2018-03-05,12,0,74295.82408673,4360.590660735894,181043076.000076,14,14,2436.7867,174.056192857143,114.5823,2436.7867
2018-03-06,15,0,51704.0013897,4397.646103349126,181043076.000076,11,11,3501.529304,318.320845818182,27.975852,3501.529304
2018-03-07,29,0,2079.39841072,4335.516998909762,181043076.000076,38,38,87065.121848,2291.18741705263,637.2699995,87065.121848
2018-03-08,10,0,26447.83683775,4327.634592724111,181043076.000076,8,8,6845.2886,855.661075,243.8411,6845.2886
